,year,year_code,country_name,country_code,access_to_electricity,birth_rate,life_expectancy,exports_perc_gdp,education_years,gdp_per_capita_ppp,perc_internet_users,infant_mort_rate,inflation_perc,consumer_price_index,crop_production_index,goods_imports,prevalence_of_anemia_pregnancy,diabetes_prevalence,human_capital_index,net_enrollment_rate,measles_immunization,co2_emissions_gaseous_fuel,fossil_fuel_energy_consumption,fuel_exports,fuel_imports,investment_inflows,investment_outflows,mobile_subscriptions,agricultural_land,greenhouse_gas_em,age_dependency_ratio,imports_annual_growth,int_tourism_arrivals,total_covid_cases_per_million,total_covid_deaths_per_million,population_density,median_age,human_development_index,ar_tech
110,2020,YR2020,Madagascar,MDG,0.135863637924194,41.275,58.485,19.1196684495627,5.0,1295.84787358173,0.00196394691,68.2,11.859684500028,37.7489052028752,70.23,632674122.830293,44.4,3.2,0.391991019248962,66.39113,57.0,0.0,,3.79939840462356,22.7000349897239,1.79192380694397,-0.0198952439111517,0.00400169825,69.6426729029817,74.1087608031296,92.745011483304,16.6549834681008,282000.0,1346.8629999999998,23.618000000000002,43.951,19.6,0.528,0.07581255210180672
111,2020,YR2020,Malawi,MWI,0.048,43.727,45.09,25.6036524824415,8.0,680.734157388468,0.00126780945,99.8,29.5814884631684,32.3572237502022,56.68,461970787.054966,43.7,2.3,0.413240641355515,98.46028,73.0,0.0,,0.175344633661665,15.7267764048647,1.49124743120067,-0.0344134176281806,0.00439510841,50.1697072549852,80.9794608692688,96.8618317429599,20.863576329089,228000.0,1782.283,60.011,197.519,18.1,0.483,0.027283244148500002
112,2020,YR2020,Malaysia,MYS,0.993,21.98,72.594,119.809708726968,6.0,12913.1721361343,0.2138473116,8.7,1.53474023697698,80.519271906486,102.36,77519236842.1053,37.1,11.6,0.610976159572601,98.41488,96.0,39.5386140923938,94.9730969134974,9.6183788648881,4.84724058569142,4.03842862393764,2.1602071823592,0.22081966239999998,21.1191599452138,-13.6937288623313,59.4165408258598,24.3745382212631,10222000.0,12716.864,46.994,96.25399999999999,29.9,0.81,0.6430785253
113,2020,YR2020,Maldives,MDV,0.838,21.385,70.173,91.2941274681565,7.0,8460.49140382497,0.02203872939,31.6,,,144.58,341961956.559252,49.9,7.4,,97.09403,99.0,0.0,0.0,0.0,11.685869129054,3.57378188906309,0.0,0.027337346720000003,30.0,,79.3047239496095,1.02422829695557,467000.0,55938.299000000006,135.05,1454.433,30.6,0.74,0.47134728995850006
114,2020,YR2020,Mali,MLI,0.0937932205200195,48.784,48.069,22.4785904568103,9.0,1134.54115619697,0.00142545755,101.5,-0.677661659046742,76.4073268628188,39.47,591120821.176866,61.6,4.2,0.318269580602646,51.62062,49.0,0.0,,2.86321023108914e-05,23.0020129650855,2.03720857000013,-0.617609674297553,0.00094989743,31.6344175907031,128.100614581116,99.4690941162107,0.550940802192372,86000.0,686.194,23.95,15.196,16.4,0.434,0.05218017117151073
115,2020,YR2020,Malta,MLT,1.0,11.3,78.3487804878049,120.249130476592,11.0,18363.4883171494,0.1311370871,6.7,2.36959287531812,78.8368213537536,108.39,3212074669.40825,21.0,6.8,0.709248304367065,99.17215,74.0,0.0,99.9674076094368,3.14383404873875e-07,7.13647244847357,18.2622554042989,4.0084391014766,0.29072895630000006,28.125,-2.00542384822622,47.6196963504534,-11.2753571733405,1387000.0,68639.463,939.8939999999999,1454.037,42.4,0.895,0.624970876115
117,2020,YR2020,Mauritania,MRT,0.222,38.14,60.706,25.5171157140843,9.0,3041.06791306078,0.0019203146200000001,69.2,3.25406745833358,53.1532331319081,60.89,3128825829.56439,54.0,4.8,0.381546080112457,60.07356,46.0,0.0,,25.0244069734591,22.9390675378583,2.25319046661759,0.0205395591029023,0.00581700611,38.5660230911031,99.9455838857094,87.8684915773354,23.2987786117987,30000.0,3963.5159999999996,97.85700000000001,4.289,20.3,0.546,0.12335381072800002
118,2020,YR2020,Mauritius,MUS,0.99,17.0,71.6634146341463,61.094214849751,6.0,9027.42552558895,0.07281535115,16.6,4.19928825622807,56.8934453545595,123.51,1944356995.5037,35.8,16.2,0.62185925245285,93.22731,84.0,0.0,73.8631009648696,0.00818211310058302,11.7247840618692,5.69640519781753,0.277741789138919,0.1518801497,49.7536945812808,,46.8373395225235,-2.03826395663447,678000.0,952.2180000000001,13.367,622.962,37.4,0.804,0.5851733878725
119,2020,YR2020,Mexico,MEX,0.98007132,23.85,74.34,25.4067169365962,9.0,11089.8134294426,0.05081384153,23.6,9.49156149435404,63.3128119183035,72.47,174761226010.0,27.6,10.8,0.612949848175049,99.8354,96.0,20.3994845360825,87.2495319862253,9.66529118455076,2.95290115115317,2.59670994264157,0.0,0.1423448136,54.6979088968338,16.6626186464211,64.873301337638,20.2965316439927,105673000.0,18209.337,1684.351,66.444,29.3,0.779,0.5710585518955
121,2020,YR2020,Moldova,MDA,0.99,11.298,67.006,49.6001138108804,9.0,3083.73543029294,0.01282846417,26.1,31.2993015817784,40.0302451908516,83.72,688000000.0,33.0,7.6,0.584153532981873,92.56074,89.0,49.8956158663883,91.484748344828,0.0904257523649786,32.4197717239679,9.89887383909094,0.00620911013899385,0.03307430677999999,77.3722627737226,-71.6113653160345,48.9805994926946,32.2844874876873,18000.0,62261.35400000001,1444.237,123.655,37.6,0.75,0.5522973931375
