Time,Time Code,Country Name,Country Code,Access to electricity (% of population),Bank liquid reserves to bank assets ratio (%),"Birth rate, crude (per 1,000 people)",Gini index (World Bank estimate),"Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Taxes on exports (% of tax revenue),Multidimensional poverty index (scale 0-1),Poverty headcount ratio at national poverty lines (% of population),"Compulsory education, duration (years)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Mortality rate, infant (per 1,000 live births)","Inflation, consumer prices (annual %)",Consumer price index (2010 = 100),Crop production index (2014-2016 = 100),"Energy imports, net (% of energy use)","Goods imports (BoP, current US$)",Prevalence of anemia among pregnant women (%),"Prevalence of HIV, total (% of population ages 15-49)",Diabetes prevalence (% of population ages 20 to 79),Female genital mutilation prevalence (%),Human capital index (HCI) (scale 0-1),"Adjusted net enrollment rate, primary (% of primary school age children)",Adults (ages 15+) and children (ages 0-14) newly infected with HIV,"Immunization, measles (% of children ages 12-23 months)","Prevalence of overweight (modeled estimate, % of children under 5)",CO2 emissions from gaseous fuel consumption (% of total),Fossil fuel energy consumption (% of total),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),"Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Mobile cellular subscriptions (per 100 people),Agricultural land (% of land area),Total greenhouse gas emissions (% change from 1990),"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",Age dependency ratio (% of working-age population),Labor force with advanced education (% of total working-age population with advanced education),Labor force with intermediate education (% of total working-age population with intermediate education),Imports of goods and services (annual % growth),"International tourism, number of arrivals","International tourism, number of departures"
2000,YR2000,Cabo Verde,CPV,..,..,27.608,..,68.583,27.0072185431265,..,..,..,6,3032.12636816585,1.822443852,31.1,-2.47745668519833,78.6650455116337,102.73,..,222345361.664614,46.5,0.7,..,..,..,99.56229,200,86,..,0,..,0,6.0959764843501,-32806136.1053116,6.34282422287077,0.258907947396208,4.60755556,17.6178660049628,60.0836408219959,..,92.2237435747795,..,..,..,115000,..
2000,YR2000,Cambodia,KHM,16.6,..,28.058,..,58.432,49.5227810531323,..,..,..,..,1082.43433894762,0.04702264,79.2,-0.791992529473561,59.03876639429,36.77,20.3363177711196,1935729762.62205,55.4,1.6,..,..,..,93.16555,11000,65,3.2,0,20.3362884659568,0.00103234740919474,12.6907081178027,-141910547.771325,3.21674431167286,-0.641724787768896,1.073997805,27.0224337185588,115.74886911715,..,80.7378031517793,60.8800010681152,65.870002746582,23.7203603875548,466000,41000
2000,YR2000,Cameroon,CMR,41,..,41.419,..,50.993,25.9082094134603,..,..,..,6,1941.6971286159,0.252120078,87.4,1.22719012976135,77.6142650318084,42.92,-76.628654041154,1476891324.68541,52.2,4.6,..,..,..,..,58000,49,8.3,0,16.3072863854111,54.1507311617527,23.1590407130586,-149497898.409709,1.58378611925462,0.101251198240887,0.665717198,19.3776311057519,67.1891651860457,..,93.2219747744417,..,..,19.0216165153559,..,..
2000,YR2000,Canada,CAN,100,..,10.7,33.3,79.1365853658537,44.3568160974906,..,..,..,10,29265.2513176458,51.3,5.3,2.71943995691972,81.8903835145964,68.6,-47.8043564157088,243653094237.564,15.7,..,..,..,..,99.92051,..,96,8.8,31.8266347348124,76.1025718116541,14.097379549686,5.298290177977,-21653038993.6265,9.20163920854819,6.28460146309722,28.53043915,6.83580221714355,24.9649654583241,..,46.4743272436913,78.5599975585938,70.0500030517578,8.4871217114145,48638000,..
2000,YR2000,Cayman Islands,CYM,100,..,15.4,..,..,..,..,..,..,12,..,..,..,..,..,93.99,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,25.29371439,11.25,..,..,..,..,..,..,1385000,..
2000,YR2000,Central African Republic,CAF,6,..,41.347,..,44.19,20.3722135905975,..,..,..,10,674.439740085479,0.053394174,110.4,..,..,91.8,..,..,55.1,7.1,..,..,..,..,13000,36,6.6,0,..,0.454669197024921,7.54601343311987,..,0.0972197508822973,..,0.136440038,8.26511284471412,241.677420094303,..,87.99236344783,..,..,..,11199.9998092651,..
2000,YR2000,Chad,TCD,2.70496773719788,..,50.941,..,47.713,16.8900964319303,..,..,..,6,765.583256922866,0.035707076,100.2,3.82260088086308,72.1689327009226,45.05,..,..,54.9,1.9,..,..,..,51.36792,9900,28,3.4,0,..,..,..,..,8.3153491110676,..,0.065823693,38.6197585768742,604.796680039053,..,107.173467606606,..,..,6.79174567185676,43000,..
2000,YR2000,Channel Islands,CHI,..,..,11.991,..,79.037,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.8989898989899,..,..,46.1369587902892,..,..,..,..,..
2000,YR2000,Chile,CHL,97.938687,..,16.556,52.8,76.366,30.5317001278369,0,..,36,8,9553.56662261844,16.6,9.2,3.8432729570657,73.6733347667168,72.41,65.9070584563462,17028810000,23.3,0.2,..,..,..,..,2300,97,11.3,20.281813080616,74.511496953145,1.11401872751948,18.1337770872841,-873370518.197886,6.24191816512269,5.12021245975739,22.17081695,20.3219229300151,65.1454879353159,..,53.80445749989,89.7099990844727,62.2400016784668,10.3352128228722,..,1528000
2000,YR2000,China,CHN,96.9071044921875,..,14.03,..,71.397,20.8934448164694,..,..,49.8,9,2920.56079086362,1.775913207,30.1,0.347806256807194,80.9700195375273,64.73,0.548408768497482,124897211000,28.7,..,..,..,..,..,..,84,6.4,1.75748249248062,79.8413558376096,3.15222106435306,9.46701532537761,-37483300000,3.47508224574174,0.380733224786637,6.606481691,55.5700446698569,30.5612564773515,..,46.2000563478889,..,..,..,83444000,10473000
2000,YR2000,Colombia,COL,95.2,..,22.256,58.7,72.945,15.915139715438,0,..,..,10,6690.37375103851,2.207532993,21,9.22257080235504,58.2158441469197,74.29,-180.200085877491,11042499112.5429,33.4,0.4,..,..,..,96.76601,11000,88,4.7,21.5750822993163,76.0141392594484,43.079504613909,2.05195835864663,-2111113395.47856,2.43922655930173,0.325715963690265,5.694682872,40.4317260027039,-5.66324032411509,..,60.7127533772823,..,..,5.950423837599,707000,1235000
2000,YR2000,Comoros,COM,..,..,37.497,..,59.46,8.83631405886599,..,..,..,6,1801.7674563404,0.271740607,72.2,..,69.1444788256996,83.36,..,..,42.7,0.1,..,..,..,67.49473,100,70,12.3,0,..,..,8.04339415335231,..,0.0267329894572597,..,0,71.4669532509404,24.2996084878248,..,88.7233716795067,..,..,10.8480816464549,24000,..
2000,YR2000,"Congo, Dem. Rep.",COD,6.7,..,45.965,..,50.041,11.4496120313427,..,..,..,6,447.082198397239,0.005902114,106.6,513.906843747536,6.79873847528014,48.73,-7.2154727970477,..,54.1,1.7,..,..,..,..,51000,46,6.5,0,2.03655324693759,..,..,..,0.493452281553792,-0.00942998550592019,0.031843195,11.2922079354227,-37.4094626279157,..,94.1513673222168,..,..,13.289986662122,103000,..
2000,YR2000,"Congo, Rep.",COG,..,..,38.554,..,52.123,80.297147219193,..,..,..,10,3699.23905190971,0.026354732,72.4,-0.881991517025449,75.8358892991145,68.11,-1938.66189961007,455276406.87062,56.5,4.1,..,..,..,..,6500,34,6.6,22.7272727272727,26.2245869677914,..,..,-162058770.978343,-3.04039269370418,-8.07341359419306,2.238273128,30.8638360175695,-55.2570729796169,..,81.4197141985342,..,..,4.45940136534195,..,..
2000,YR2000,Costa Rica,CRI,98.6764755249023,..,19.335,47.4,77.452,43.1144408485556,0.319811479548897,..,..,11,7836.92728473142,5.800253023,11,10.9622816532861,37.3577466106893,72.88,57.6055545966291,5180937180.6705,19.5,0.2,..,..,..,..,500,82,8.5,0,59.0271591155853,0.616778935676235,8.06181329741196,-616036841.102486,4.83912982984772,0.718348239400365,5.34058892,36.036036036036,14.6324750148381,..,58.0810238794835,..,..,-3.89729781819631,1278000,381000
2000,YR2000,Cote d'Ivoire,CIV,47.6174240112305,..,41.069,..,49.635,40.7810291279491,..,..,..,10,2291.44115265653,0.231461671,95.3,2.53077516737993,75.2272006073529,71.81,11.4509785439772,..,57.6,6.2,..,..,..,56.50839,56000,68,4.5,35.6371490280778,37.130149257688,20.3284493525677,33.7455411445441,..,2.18999010533173,0.073455623050239,2.874272516,61.6352201257862,-80.6553054152137,..,86.7721556200427,..,..,..,..,..
2000,YR2000,Croatia,HRV,100,..,9.8,..,72.8078048780488,35.3063686899188,0,..,..,8,10587.4260296888,6.644882544,7.2,4.611315547378,75.8142448103077,69.86,49.1703985208919,6632569890.79397,25.9,0.1,..,..,..,93.90671,100,93,..,26.1660978384528,77.9085001612781,10.9626983421509,14.5122131360056,-966944559.019883,4.69208376621014,0.222456172320229,23.32842149,20.9086031121445,-21.3687320645676,..,49.0038458934841,..,..,7.13014983047717,37226000,..
2000,YR2000,Cuba,CUB,97,..,13.069,..,76.699,14.1300293796253,..,..,..,9,..,0.541182549,6.9,..,..,125.09,44.8669257940044,..,29,0.1,..,..,..,99.56287,1000,94,7.8,4.23168845775341,70.9001632755027,3.12565065656758,23.9110291563969,..,..,..,0.058743011,61.024208566108,-18.9089783656091,..,45.8461601380333,..,..,-0.22143678405655,1774000,139000
2000,YR2000,Curacao,CUW,100,..,..,..,..,..,..,..,..,9,22701.9604445594,..,..,..,76.84233544719,..,99.9673049488332,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.3066282420749,..,..,..,514000,..
